record_id|fiscal_year|period|category|line_item|funding_source|approved|actual_zmw|description|source_document|stakeholders
KIT2-CPS-2024-552|2024||Proposed|Rehabilitation of 1x3 Classroom Block and Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-553|2024||Proposed|Construction of Science and Computer Laboratory|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-554|2024||Proposed|Construction of Admission Wards|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-555|2024||Proposed|Construction of Foot Bridge|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-556|2024||Proposed|Construction of Foot Bridge|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-557|2024||Proposed|Construction of Foot Bridge|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-558|2024||Proposed|Construction of Foot Bridge|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-559|2024||Proposed|Water Supply - Nkana Water|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-560|2024||Proposed|Renovation of Market Shelter|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-561|2024||Proposed|Construction of Police Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-562|2024||Proposed|Construction of Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-563|2024||Proposed|Construction of Foot Bridge|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-564|2024||Proposed|Construction of Foot Bridge|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-565|2024||Proposed|Rehabilitation of Foot Bridge|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-566|2024||Proposed|Installation of 1.2km of Streetlights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-567|2024||Proposed|Installation of 1.6km of Streetlights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-568|2024||Proposed|Installation of 1.9km of Streetlights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-569|2024||Proposed|Installation of 3.9km of Streetlights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-570|2024||Proposed|Construction of Market Shelter|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-571|2024||Proposed|Construction of Market Shelter|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-572|2024||Proposed|Construction of Police Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-573|2024||Proposed|Construction of Mothers Shelter|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-574|2024||Proposed|Construction of 1x1 Classroom Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-575|2024||Proposed|Buying off houses for expansion of Mulenga Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
